county,race,candidate,votes
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",30
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",24
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",23
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",513
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",302
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",117
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",19
Lander,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",74
Lander,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",73
Lander,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,43
Lander,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",24
Lander,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",12
Lander,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",12
Lander,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",8
Lander,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",613
Lander,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,116
Lander,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",69
Lander,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",62
Lander,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",59
Lander,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",53
Lander,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",8
Lander,GOVERNOR (REPUBLICAN),"LUSAK, STAN",4
Lander,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",3
Lander,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",150
Lander,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",55
Lander,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,35
Lander,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",272
Lander,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,236
Lander,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",182
Lander,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",113
Lander,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",93
Lander,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",67
Lander,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",471
Lander,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",304
Lander,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,193
Lander,STATE TREASURER (REPUBLICAN),"BEERS, BOB",585
Lander,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,192
Lander,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",186
Lander,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",107
Lander,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",68
Lander,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,65
Lander,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",440
Lander,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",362
Lander,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,171
Lander,"STATE ASSEMBLY, DISTRICT 32 (REPUBLICAN)","HANSEN, ALEXIS M.",511
Lander,"STATE ASSEMBLY, DISTRICT 32 (REPUBLICAN)","FRANSWAY, TOM",424
Lander,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",490
Lander,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,326
Lander,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",195
Lander,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",165
Lander,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",156
Lander,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",63
Lander,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)","DEL CARLO, CAROL (INCUMBENT)",1241
Lander,COUNTY DISTRICT ATTORNEY (REPUBLICAN),"HERRERA, THEODORE C. (INCUMBENT)",581
Lander,COUNTY DISTRICT ATTORNEY (REPUBLICAN),"SCHAEFFER, WILLIAM E. ""BILL""",389
Lander,COUNTY RECORDER (REPUBLICAN),"BUNCH, LESLEY L. (INCUMBENT)",538
Lander,COUNTY RECORDER (REPUBLICAN),"FULLER, DEONILLA",446
Lander,COUNTY COMMISSIONER DISTRICT 1 (REPUBLICAN),"SPARKS, BRYAN",461
Lander,COUNTY COMMISSIONER DISTRICT 1 (REPUBLICAN),"MILLS, DOUG (INCUMBENT)",381
Lander,COUNTY COMMISSIONER DISTRICT 1 (REPUBLICAN),"GARNER, BRIAN",139
Lander,COUNTY COMMISSIONER DISTRICT 2 (REPUBLICAN),"CLARK, ART ""III"" (INCUMBENT)",490
Lander,COUNTY COMMISSIONER DISTRICT 2 (REPUBLICAN),"LOVE, NICHOLAS A.",478
Lander,COUNTY COMMISSIONER DISTRICT 5 (REPUBLICAN),"ANCHO, KATHLEEN V.",476
Lander,COUNTY COMMISSIONER DISTRICT 5 (REPUBLICAN),"BAKKER, SEAN (INCUMBENT)",416
Lander,COUNTY COMMISSIONER DISTRICT 5 (REPUBLICAN),"MASON, DAVID R.",97
Lander,"HOSPITAL BOARD DISTRICT, SEAT E (NONPARTISAN)","GREEN, PAULA",1355
Lander,"SCHOOL BOARD DISTRICT, AREA 1 (NONPARTISAN)","CHOPP, MIKE (INCUMBENT)",909
Lander,"SCHOOL BOARD DISTRICT, AREA 1 (NONPARTISAN)","MARINE, LAKEN",863
Lander,"SCHOOL BOARD DISTRICT, AREA 1 (NONPARTISAN)","GONZALEZ, JORGE",861
Lander,"SCHOOL BOARD DISTRICT, AREA 3 (NONPARTISAN)","STATON, DOUGLAS S. III",1254
Lander,"SCHOOL BOARD DISTRICT, AREA 4 (NONPARTISAN)","THOMPSON, W. TODD (INCUMBENT)",1299
Lander,LANDER COUNTY SHERIFF (NONPARTISAN),"UNGER, RON (INCUMBENT)",911
Lander,LANDER COUNTY SHERIFF (NONPARTISAN),"RAMOS, ""BERT"" BARTOLO",471
Lander,LANDER COUNTY SHERIFF (NONPARTISAN),"CASTELLANOS, NOLIENA FRAZIER",59
Lander,ARGENTA JUSTICE OF THE PEACE (NONPARTISAN),"FORTUNE, DENISE",572
Lander,ARGENTA JUSTICE OF THE PEACE (NONPARTISAN),"MELVER, TOBY",266
Lander,ARGENTA JUSTICE OF THE PEACE (NONPARTISAN),"JOHNSON, MICHAEL E.",171
Lander,ARGENTA JUSTICE OF THE PEACE (NONPARTISAN),"JONES, JOSEPH",157
Lander,ARGENTA JUSTICE OF THE PEACE (NONPARTISAN),"SUNSERI, JOSEPH",90
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",121
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,51
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",19
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",17
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",10
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",9
Lincoln,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",7
Lincoln,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",613
Lincoln,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",104
Lincoln,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,58
Lincoln,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",27
Lincoln,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",8
Lincoln,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",5
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","HORSFORD, STEVEN A.",115
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","SPEARMAN, PATRICIA ""PAT""",31
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ANZALONE, JOHN",27
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","VILELA, AMY",21
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ZELLER, SID",18
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","STEPHENS, ALLISON",13
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","HARDY, CRESENT",607
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","GIBBS, DAVID GLENN",54
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","TOWNSEND, BILL",45
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MILLER, JEFF",37
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","WEGNER, KENNETH A.",32
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MONROE, MIKE",15
Lincoln,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",95
Lincoln,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",52
Lincoln,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,44
Lincoln,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",23
Lincoln,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",10
Lincoln,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",7
Lincoln,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",6
Lincoln,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",522
Lincoln,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",94
Lincoln,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",81
Lincoln,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,54
Lincoln,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",38
Lincoln,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",15
Lincoln,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",3
Lincoln,GOVERNOR (REPUBLICAN),"LUSAK, STAN",3
Lincoln,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",2
Lincoln,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",119
Lincoln,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",56
Lincoln,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,55
Lincoln,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",281
Lincoln,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",158
Lincoln,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,148
Lincoln,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",76
Lincoln,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",62
Lincoln,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",62
Lincoln,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",440
Lincoln,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",234
Lincoln,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,122
Lincoln,STATE TREASURER (REPUBLICAN),"BEERS, BOB",532
Lincoln,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,132
Lincoln,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",127
Lincoln,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",101
Lincoln,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",64
Lincoln,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,63
Lincoln,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",380
Lincoln,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",296
Lincoln,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,117
Lincoln,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)","ELLISON, JOHN C. (INCUMBENT)",384
Lincoln,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)","JOHNSON, CHRIS J.",151
Lincoln,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)","OSCARSON, JAMES (INCUMBENT)",131
Lincoln,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)","BRADLEY, JOSEPH J.",59
Lincoln,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)","HOF, DENNIS",40
Lincoln,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,312
Lincoln,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",213
Lincoln,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",185
Lincoln,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",156
Lincoln,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",128
Lincoln,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",100
Lincoln,"COUNTY COMMISSIONER, DISTRICT B (REPUBLICAN)","LISTER, BEVAN",322
Lincoln,"COUNTY COMMISSIONER, DISTRICT B (REPUBLICAN)","WOODWORTH, JANINE A.",307
Lincoln,"COUNTY COMMISSIONER, DISTRICT B (REPUBLICAN)","HULSE, FRANK C.",173
Lincoln,DISTRICT ATTORNEY (REPUBLICAN),"FREHNER, DYLAN V.",502
Lincoln,DISTRICT ATTORNEY (REPUBLICAN),"HOOGE, DANIEL M. (INCUMBENT)",313
Lincoln,"GROVER C. DILS HOSPITAL DISTRICT TRUSTEE, DISTRICT A (NONPARTISAN)","LLOYD, MICK (INCUMBENT)",1041
Lincoln,"GROVER C. DILS HOSPITAL DISTRICT TRUSTEE, DISTRICT B (NONPARTISAN)","AVERY, TERRY (INCUMBENT)",1024
Lincoln,"LINCOLN COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT A (NONPARTISAN)","KELLEY, PAT (INCUMBENT)",982
Lincoln,"LINCOLN COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT D (NONPARTISAN)","MIZER, JOSEPH ""TY"" (INCUMBENT)",983
Lincoln,"LINCOLN COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT E (NONPARTISAN)","POULSEN, WADE",946
Lincoln,"JUSTICE OF THE PEACE, PAHRANAGAT VALLEY (NONPARTISAN)","HOLTON, NOLA A. (INCUMBENT)",254
Lyon,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",1457
Lyon,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,254
Lyon,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",111
Lyon,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",107
Lyon,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",73
Lyon,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",71
Lyon,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",57
Lyon,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",4039
Lyon,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",1047
Lyon,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,188
Lyon,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",147
Lyon,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",135
Lyon,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",48
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",388
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",334
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",291
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",239
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",178
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",152
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",2859
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",748
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",339
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",56
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","HORSFORD, STEVEN A.",209
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","SPEARMAN, PATRICIA ""PAT""",55
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","STEPHENS, ALLISON",46
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","VILELA, AMY",35
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ANZALONE, JOHN",33
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ZELLER, SID",15
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","HARDY, CRESENT",622
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","GIBBS, DAVID GLENN",347
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MILLER, JEFF",203
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","TOWNSEND, BILL",166
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","WEGNER, KENNETH A.",61
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MONROE, MIKE",48
Lyon,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",1026
Lyon,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",753
Lyon,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,190
Lyon,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",68
Lyon,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",49
Lyon,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",42
Lyon,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",28
Lyon,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",4434
Lyon,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",349
Lyon,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",233
Lyon,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,197
Lyon,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",173
Lyon,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",137
Lyon,GOVERNOR (REPUBLICAN),"LUSAK, STAN",39
Lyon,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",27
Lyon,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",22
Lyon,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",1493
Lyon,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",363
Lyon,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,249
Lyon,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",2667
Lyon,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",783
Lyon,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",726
Lyon,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,640
Lyon,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",399
Lyon,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",228
Lyon,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",3039
Lyon,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",1808
Lyon,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,546
Lyon,STATE TREASURER (REPUBLICAN),"BEERS, BOB",3620
Lyon,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",1118
Lyon,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,626
Lyon,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",1319
Lyon,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",439
Lyon,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,337
Lyon,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",3399
Lyon,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",1640
Lyon,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,432
Lyon,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",3728
Lyon,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",1821
Lyon,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",1117
Lyon,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,909
Lyon,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",670
Lyon,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",455
Lyon,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)","DEL CARLO, CAROL (INCUMBENT)",7603
Lyon,CLERK / TREASURER (REPUBLICAN),"BRYAN, NIKKI (INCUMBENT)",4249
Lyon,CLERK / TREASURER (REPUBLICAN),"CRABTREE, KIMBER LEE ANN",1134
Lyon,RECORDER (REPUBLICAN),"KASSEBAUM, MARGIE",2910
Lyon,RECORDER (REPUBLICAN),"WOOD, STEPHEN",2426
Lyon,"COUNTY COMMISSIONER, DISTRICT 2 (REPUBLICAN)","KELLER, VIDA D.",2173
Lyon,"COUNTY COMMISSIONER, DISTRICT 2 (REPUBLICAN)","ALT, DON (INCUMBENT)",1815
Lyon,"COUNTY COMMISSIONER, DISTRICT 2 (REPUBLICAN)","NIVENS, RAYMOND EVERETT ""RAY""",1366
Lyon,"LYON COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT II (NONPARTISAN)","MCINTYRE, NEAL E. (INCUMBENT)",7669
Lyon,"LYON COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT VI (NONPARTISAN)","PETERSON, BRIDGET (INCUMBENT)",7650
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"JOHNSON, MATT",876
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"SEIDL, SUE",767
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"HICKS, TERRIN",704
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"MURPHY, CHRIS",587
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"SHELDON, DEAN",579
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"WATSON, LUVERNE ""VERN"" (INCUMBENT)",500
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS (NONPARTISAN),"STANDLEE, KEVIN",276
Lyon,SHERIFF (NONPARTISAN),"MCNEIL, AL (INCUMBENT)",4317
Lyon,SHERIFF (NONPARTISAN),"HUNEWILL, FRANK",2856
Lyon,SHERIFF (NONPARTISAN),"BRUNSON, DOUGLAS",904
Lyon,SHERIFF (NONPARTISAN),"KANTZ, GREG",660
Lyon,"JUSTICE OF THE PEACE, CANAL TOWNSHIP (NONPARTISAN)","MATHEUS, LORI",2316
Lyon,"JUSTICE OF THE PEACE, DAYTON TOWNSHIP (NONPARTISAN)","VECCHIARELLI, CAMILLE (INCUMBENT)",2885
Lyon,CITY OF FERNLEY MAYOR (NONPARTISAN),"EDGINGTON, ROY (INCUMBENT)",1421
Lyon,CITY OF FERNLEY MAYOR (NONPARTISAN),"BICKERTON, TIM",615
Lyon,CITY OF FERNLEY MAYOR (NONPARTISAN),"HANAN, RYAN P.",604
Lyon,"CITY COUNCIL, WARD 1, CITY OF FERNLEY (NONPARTISAN)","WHALEN, SHARI L. (INCUMBENT)",194
Lyon,"CITY COUNCIL, WARD 1, CITY OF FERNLEY (NONPARTISAN)","LACY, RAY",189
Lyon,"CITY COUNCIL, WARD 1, CITY OF FERNLEY (NONPARTISAN)","JONES, RICHARD ""RICK""",92
Lyon,"CITY COUNCIL, WARD 1, CITY OF FERNLEY (NONPARTISAN)","WILLIAMS, SR., BARRY R.",41
Mineral,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",163
Mineral,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,82
Mineral,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",28
Mineral,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",15
Mineral,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",13
