county,race,party,candidate,votes
Scotland,U.S. Senator,Democratic,Carla (Coffee) Wright,14
Scotland,U.S. Senator,Democratic,Angelica Earl,4
Scotland,U.S. Senator,Democratic,Leonard Joseph Steinman II,0
Scotland,U.S. Senator,Democratic,John Hogan,9
Scotland,U.S. Senator,Democratic,Travis Gonzalez,3
Scotland,U.S. Senator,Democratic,David Faust,2
Scotland,U.S. Senator,Democratic,Claire McCaskill,156
Scotland,U.S. Senator,Libertarian,Japheth Campbell,2
Scotland,U.S. Senator,Green,Jo Crain,0
Scotland,U.S. Senator,Green,Jerome Bauer,1
Scotland,State Auditor,Republican,Kevin M. Roach,132
Scotland,State Auditor,Republican,David Wasinger,103
Scotland,State Auditor,Republican,Paul Curtman,75
Scotland,State Auditor,Republican,Saundra McDowell,140
Scotland,State Auditor,Democratic,Nicole Galloway,148
Scotland,State Auditor,Libertarian,Sean O'Toole,3
Scotland,State Auditor,Green,Don Fitz,2
Scotland,State Auditor,Constitution,Jacob Luetkemeyer,0
Scotland,U.S. Representative - District 6,Republican,Sam Graves,481
Scotland,U.S. Representative - District 6,Democratic,Winston Apple,53
Scotland,U.S. Representative - District 6,Democratic,Henry Robert Martin,80
Scotland,U.S. Representative - District 6,Democratic,Ed Andres,29
Scotland,U.S. Representative - District 6,Libertarian,Dan Hogan,2
Scotland,State Senator - District 18,Republican,Lindell F Shumake,21
Scotland,State Senator - District 18,Republican,Craig Redmon,366
Scotland,State Senator - District 18,Republican,Cindy O'Laughlin,150
Scotland,State Senator - District 18,Republican,Nate Walker,81
Scotland,State Senator - District 18,Democratic,Crystal Stephens,146
Scotland,State Representative - District 4,Republican,Greg Sharpe,402
Scott,U.S. Senator,Republican,Tony Monetti,176
Scott,U.S. Senator,Republican,Austin Petersen,233
Scott,U.S. Senator,Republican,Josh Hawley,"2,101"
Scott,U.S. Senator,Republican,Fred Ryman,45
Scott,U.S. Senator,Republican,Christina Smith,175
Scott,U.S. Senator,Republican,Kristi Nichols,250
Scott,U.S. Senator,Republican,Bradley Krembs,13
Scott,U.S. Senator,Republican,Ken Patterson,64
Scott,U.S. Senator,Republican,Brian G. Hagg,15
Scott,U.S. Senator,Republican,Courtland Sykes,62
Scott,U.S. Senator,Republican,Peter Pfeifer,105
Scott,U.S. Senator,Democratic,Carla (Coffee) Wright,534
Scott,U.S. Senator,Democratic,Angelica Earl,103
Scott,U.S. Senator,Democratic,Leonard Joseph Steinman II,95
Scott,U.S. Senator,Democratic,John Hogan,400
Scott,U.S. Senator,Democratic,Travis Gonzalez,98
Scott,U.S. Senator,Democratic,David Faust,366
Scott,U.S. Senator,Democratic,Claire McCaskill,"2,105"
Scott,U.S. Senator,Libertarian,Japheth Campbell,12
Scott,U.S. Senator,Green,Jo Crain,2
Scott,U.S. Senator,Green,Jerome Bauer,0
Scott,State Auditor,Republican,Kevin M. Roach,807
Scott,State Auditor,Republican,David Wasinger,518
Scott,State Auditor,Republican,Paul Curtman,414
Scott,State Auditor,Republican,Saundra McDowell,"1,110"
Scott,State Auditor,Democratic,Nicole Galloway,"2,968"
Scott,State Auditor,Libertarian,Sean O'Toole,11
Scott,State Auditor,Green,Don Fitz,2
Scott,State Auditor,Constitution,Jacob Luetkemeyer,4
Scott,U.S. Representative - District 8,Republican,Jason Smith,"3,065"
Scott,U.S. Representative - District 8,Democratic,Kathy Ellis,"2,948"
Scott,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,12
Scott,State Representative - District 148,Republican,Holly Rehder,"2,240"
Scott,State Representative - District 149,Republican,Don Rone,222
Scott,State Representative - District 149,Democratic,Bill Burlison,324
Scott,State Representative - District 151,Republican,Herman Morse,464
Scott,State Representative - District 151,Democratic,J. T. (Jerry) Howard,492
Scott,State Representative - District 151,Libertarian,Rick Vandeven,5
Scott,Circuit Judge - Circuit 33,Democratic,Rebecca A. Reed,"1,312"
Scott,Circuit Judge - Circuit 33,Democratic,David A. Dolan,"2,815"
Shannon,U.S. Senator,Republican,Tony Monetti,56
Shannon,U.S. Senator,Republican,Austin Petersen,62
Shannon,U.S. Senator,Republican,Josh Hawley,504
Shannon,U.S. Senator,Republican,Fred Ryman,13
Shannon,U.S. Senator,Republican,Christina Smith,51
Shannon,U.S. Senator,Republican,Kristi Nichols,69
Shannon,U.S. Senator,Republican,Bradley Krembs,11
Shannon,U.S. Senator,Republican,Ken Patterson,37
Shannon,U.S. Senator,Republican,Brian G. Hagg,11
Shannon,U.S. Senator,Republican,Courtland Sykes,9
Shannon,U.S. Senator,Republican,Peter Pfeifer,33
Shannon,U.S. Senator,Democratic,Carla (Coffee) Wright,78
Shannon,U.S. Senator,Democratic,Angelica Earl,27
Shannon,U.S. Senator,Democratic,Leonard Joseph Steinman II,24
Shannon,U.S. Senator,Democratic,John Hogan,78
Shannon,U.S. Senator,Democratic,Travis Gonzalez,10
Shannon,U.S. Senator,Democratic,David Faust,44
Shannon,U.S. Senator,Democratic,Claire McCaskill,544
Shannon,U.S. Senator,Libertarian,Japheth Campbell,3
Shannon,U.S. Senator,Green,Jo Crain,0
Shannon,U.S. Senator,Green,Jerome Bauer,0
Shannon,State Auditor,Republican,Kevin M. Roach,165
Shannon,State Auditor,Republican,David Wasinger,199
Shannon,State Auditor,Republican,Paul Curtman,138
Shannon,State Auditor,Republican,Saundra McDowell,266
Shannon,State Auditor,Democratic,Nicole Galloway,633
Shannon,State Auditor,Libertarian,Sean O'Toole,3
Shannon,State Auditor,Green,Don Fitz,0
Shannon,State Auditor,Constitution,Jacob Luetkemeyer,0
Shannon,U.S. Representative - District 8,Republican,Jason Smith,823
Shannon,U.S. Representative - District 8,Democratic,Kathy Ellis,639
Shannon,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,3
Shannon,State Representative - District 143,Republican,Jack Bates,229
Shannon,State Representative - District 143,Republican,Jeffrey Pogue,636
Shannon,Circuit Judge - Circuit 37,Republican,Steven Privette,507
Shannon,Circuit Judge - Circuit 37,Republican,Melissa Stewart,385
Shelby,U.S. Senator,Republican,Tony Monetti,128
Shelby,U.S. Senator,Republican,Austin Petersen,93
Shelby,U.S. Senator,Republican,Josh Hawley,675
Shelby,U.S. Senator,Republican,Fred Ryman,54
Shelby,U.S. Senator,Republican,Christina Smith,100
Shelby,U.S. Senator,Republican,Kristi Nichols,96
Shelby,U.S. Senator,Republican,Bradley Krembs,12
Shelby,U.S. Senator,Republican,Ken Patterson,91
Shelby,U.S. Senator,Republican,Brian G. Hagg,44
Shelby,U.S. Senator,Republican,Courtland Sykes,37
Shelby,U.S. Senator,Republican,Peter Pfeifer,43
Shelby,U.S. Senator,Democratic,Carla (Coffee) Wright,52
Shelby,U.S. Senator,Democratic,Angelica Earl,21
Shelby,U.S. Senator,Democratic,Leonard Joseph Steinman II,14
Shelby,U.S. Senator,Democratic,John Hogan,71
Shelby,U.S. Senator,Democratic,Travis Gonzalez,9
Shelby,U.S. Senator,Democratic,David Faust,38
Shelby,U.S. Senator,Democratic,Claire McCaskill,434
Shelby,U.S. Senator,Libertarian,Japheth Campbell,1
Shelby,U.S. Senator,Green,Jo Crain,0
Shelby,U.S. Senator,Green,Jerome Bauer,0
Shelby,State Auditor,Republican,Kevin M. Roach,242
Shelby,State Auditor,Republican,David Wasinger,333
Shelby,State Auditor,Republican,Paul Curtman,289
Shelby,State Auditor,Republican,Saundra McDowell,372
Shelby,State Auditor,Democratic,Nicole Galloway,535
Shelby,State Auditor,Libertarian,Sean O'Toole,1
Shelby,State Auditor,Green,Don Fitz,0
Shelby,State Auditor,Constitution,Jacob Luetkemeyer,1
Shelby,U.S. Representative - District 6,Republican,Sam Graves,"1,282"
Shelby,U.S. Representative - District 6,Democratic,Winston Apple,184
Shelby,U.S. Representative - District 6,Democratic,Henry Robert Martin,246
Shelby,U.S. Representative - District 6,Democratic,Ed Andres,109
Shelby,U.S. Representative - District 6,Libertarian,Dan Hogan,1
Shelby,State Senator - District 18,Republican,Lindell F Shumake,209
Shelby,State Senator - District 18,Republican,Craig Redmon,220
Shelby,State Senator - District 18,Republican,Cindy O'Laughlin,954
Shelby,State Senator - District 18,Republican,Nate Walker,245
Shelby,State Senator - District 18,Democratic,Crystal Stephens,533
Shelby,State Representative - District 5,Republican,Neal R. Minor,382
Shelby,State Representative - District 5,Republican,Louis Riggs,690
Shelby,State Representative - District 5,Republican,Loren L. Graham,277
Shelby,State Representative - District 5,Republican,John Paul Tomko,53
Shelby,State Representative - District 5,Democratic,Joe Frese,539
Shelby,Circuit Judge - Circuit 41,Democratic,Frederick (Rick) P. Tucker,568
St. Charles,U.S. Senator,Republican,Tony Monetti,"5,013"
St. Charles,U.S. Senator,Republican,Austin Petersen,"4,551"
St. Charles,U.S. Senator,Republican,Josh Hawley,"29,107"
St. Charles,U.S. Senator,Republican,Fred Ryman,442
St. Charles,U.S. Senator,Republican,Christina Smith,"2,437"
St. Charles,U.S. Senator,Republican,Kristi Nichols,"3,571"
St. Charles,U.S. Senator,Republican,Bradley Krembs,334
St. Charles,U.S. Senator,Republican,Ken Patterson,984
St. Charles,U.S. Senator,Republican,Brian G. Hagg,523
St. Charles,U.S. Senator,Republican,Courtland Sykes,"1,531"
St. Charles,U.S. Senator,Republican,Peter Pfeifer,"1,077"
St. Charles,U.S. Senator,Democratic,Carla (Coffee) Wright,"1,741"
St. Charles,U.S. Senator,Democratic,Angelica Earl,913
St. Charles,U.S. Senator,Democratic,Leonard Joseph Steinman II,491
St. Charles,U.S. Senator,Democratic,John Hogan,843
St. Charles,U.S. Senator,Democratic,Travis Gonzalez,467
St. Charles,U.S. Senator,Democratic,David Faust,"1,192"
St. Charles,U.S. Senator,Democratic,Claire McCaskill,"35,513"
St. Charles,U.S. Senator,Libertarian,Japheth Campbell,322
St. Charles,U.S. Senator,Green,Jo Crain,30
St. Charles,U.S. Senator,Green,Jerome Bauer,27
St. Charles,State Auditor,Republican,Kevin M. Roach,"10,299"
St. Charles,State Auditor,Republican,David Wasinger,"13,322"
St. Charles,State Auditor,Republican,Paul Curtman,"6,644"
St. Charles,State Auditor,Republican,Saundra McDowell,"13,316"
St. Charles,State Auditor,Democratic,Nicole Galloway,"34,447"
St. Charles,State Auditor,Libertarian,Sean O'Toole,326
St. Charles,State Auditor,Green,Don Fitz,54
St. Charles,State Auditor,Constitution,Jacob Luetkemeyer,40
St. Charles,U.S. Representative - District 2,Republican,Ann Wagner,"16,580"
St. Charles,U.S. Representative - District 2,Republican,Noga Sachs,"2,241"
St. Charles,U.S. Representative - District 2,Democratic,Mark J. Osmack,"2,575"
St. Charles,U.S. Representative - District 2,Democratic,(William) Bill Haas,"3,269"
St. Charles,U.S. Representative - District 2,Democratic,Cort VanOstran,"5,018"
St. Charles,U.S. Representative - District 2,Democratic,John Messmer,"1,469"
St. Charles,U.S. Representative - District 2,Democratic,Robert W. Hazel,706
St. Charles,U.S. Representative - District 2,Libertarian,Larry A. Kirk,122
St. Charles,U.S. Representative - District 2,Green,David Justus Arnold,11
St. Charles,U.S. Representative - District 3,Republican,Chadwick Bicknell,"6,166"
St. Charles,U.S. Representative - District 3,Republican,Blaine Luetkemeyer,"23,667"
St. Charles,U.S. Representative - District 3,Democratic,Katy Geppert,"22,356"
St. Charles,U.S. Representative - District 3,Libertarian,Donald V. Stolle,198
St. Charles,State Senator - District 2,Republican,Bob Onder,"21,842"
St. Charles,State Senator - District 2,Democratic,Patrice Billings,"16,705"
St. Charles,State Representative - District 42,Republican,Jessica Catron,156
St. Charles,State Representative - District 42,Republican,Jeff Porter,200
St. Charles,State Representative - District 42,Democratic,Joseph Widner,140
St. Charles,State Representative - District 63,Republican,Bryan Spencer,"4,019"
St. Charles,State Representative - District 63,Democratic,Janet Kester,"3,087"
St. Charles,State Representative - District 63,Libertarian,Carl-herman Freese,44
St. Charles,State Representative - District 64,Republican,Robert Cornejo,"3,026"
St. Charles,State Representative - District 65,Republican,Tom Hannegan,"4,018"
St. Charles,State Representative - District 65,Democratic,Bill Otto,"3,988"
St. Charles,State Representative - District 70,Republican,Mark Matthiesen,"1,107"
St. Charles,State Representative - District 70,Democratic,Donald L. Klein,58
St. Charles,State Representative - District 70,Democratic,Gregory A Upchurch,133
St. Charles,State Representative - District 70,Democratic,Paula Brown,385
St. Charles,State Representative - District 70,Green,Carol Hexem,0
St. Charles,State Representative - District 102,Republican,Ron Hicks,"2,281"
St. Charles,State Representative - District 102,Republican,Bryan Cooper,"2,277"
St. Charles,State Representative - District 102,Democratic,John F. Foster,"1,578"
St. Charles,State Representative - District 102,Democratic,Gary Wester,"1,563"
St. Charles,State Representative - District 103,Republican,John D. Wiemann,"4,765"
St. Charles,State Representative - District 103,Democratic,Jim Klenc,"3,416"
St. Charles,State Representative - District 104,Republican,Adam Schnelting,"3,909"
St. Charles,State Representative - District 104,Democratic,Peggy Sherwin,"3,751"
St. Charles,State Representative - District 105,Republican,Phil Christofanelli,"4,471"
St. Charles,State Representative - District 105,Democratic,Scott Cernicek,"2,396"
St. Charles,State Representative - District 105,Democratic,Denny Braun,"1,523"
St. Charles,State Representative - District 105,Libertarian,Bill Slantz,56
St. Charles,State Representative - District 106,Republican,Chrissy Sommer,"3,744"
St. Charles,State Representative - District 106,Democratic,Jackie Sclair,"3,323"
St. Charles,State Representative - District 107,Republican,Nick Schroer,"4,136"
St. Charles,State Representative - District 107,Democratic,Curtis Wylde,"3,461"
St. Charles,State Representative - District 108,Republican,Justin Hill,"4,498"
St. Charles,State Representative - District 108,Democratic,Betty Vining,"3,279"
St. Charles,Circuit Judge - Circuit 11 Division 3,Republican,Jack Banas,"40,075"
St. Charles,Circuit Judge - Circuit 11 Division 4,Republican,Mike Fagras,"18,135"
St. Charles,Circuit Judge - Circuit 11 Division 4,Republican,William Christopher (Chris) McDonough,"15,115"
St. Charles,Circuit Judge - Circuit 11 Division 4,Republican,Linda K. Klingerman,"13,236"
St. Charles,Circuit Judge - Circuit 11 Division 5,Republican,Jon A. Cunningham,"39,161"
St. Charles,Circuit Judge - Circuit 11 Division 7,Republican,Daniel Pelikan,"38,826"
St. Clair,U.S. Senator,Republican,Tony Monetti,224
St. Clair,U.S. Senator,Republican,Austin Petersen,78
St. Clair,U.S. Senator,Republican,Josh Hawley,933
St. Clair,U.S. Senator,Republican,Fred Ryman,24
St. Clair,U.S. Senator,Republican,Christina Smith,64
St. Clair,U.S. Senator,Republican,Kristi Nichols,137
St. Clair,U.S. Senator,Republican,Bradley Krembs,9
St. Clair,U.S. Senator,Republican,Ken Patterson,43
St. Clair,U.S. Senator,Republican,Brian G. Hagg,18
St. Clair,U.S. Senator,Republican,Courtland Sykes,17
St. Clair,U.S. Senator,Republican,Peter Pfeifer,40
St. Clair,U.S. Senator,Democratic,Carla (Coffee) Wright,51
St. Clair,U.S. Senator,Democratic,Angelica Earl,22
St. Clair,U.S. Senator,Democratic,Leonard Joseph Steinman II,14
St. Clair,U.S. Senator,Democratic,John Hogan,32
St. Clair,U.S. Senator,Democratic,Travis Gonzalez,12
St. Clair,U.S. Senator,Democratic,David Faust,20
St. Clair,U.S. Senator,Democratic,Claire McCaskill,528
St. Clair,U.S. Senator,Libertarian,Japheth Campbell,6
St. Clair,U.S. Senator,Green,Jo Crain,2
St. Clair,U.S. Senator,Green,Jerome Bauer,1
St. Clair,State Auditor,Republican,Kevin M. Roach,364
St. Clair,State Auditor,Republican,David Wasinger,428
St. Clair,State Auditor,Republican,Paul Curtman,188
St. Clair,State Auditor,Republican,Saundra McDowell,458
St. Clair,State Auditor,Democratic,Nicole Galloway,612
St. Clair,State Auditor,Libertarian,Sean O'Toole,7
St. Clair,State Auditor,Green,Don Fitz,3
St. Clair,State Auditor,Constitution,Jacob Luetkemeyer,1
St. Clair,U.S. Representative - District 4,Republican,John Webb,412
St. Clair,U.S. Representative - District 4,Republican,Vicky Hartzler,"1,222"
St. Clair,U.S. Representative - District 4,Democratic,Renee Hoagenson,264
St. Clair,U.S. Representative - District 4,Democratic,Hallie J Thompson,383
St. Clair,U.S. Representative - District 4,Libertarian,Steven Koonse,3
St. Clair,U.S. Representative - District 4,Libertarian,Mark Bliss,4
St. Clair,State Senator - District 28,Republican,Sandy Crawford,"1,461"
St. Clair,State Senator - District 28,Democratic,Joe Poor,602
St. Clair,State Representative - District 125,Republican,Warren D. Love,"1,408"
St. Clair,State Representative - District 125,Democratic,Chase Crawford,655
St. Clair,Circuit Judge - Circuit 27,Democratic,James K. (Jim) Journey,643
St. Francois,U.S. Senator,Republican,Tony Monetti,623
St. Francois,U.S. Senator,Republican,Austin Petersen,477
St. Francois,U.S. Senator,Republican,Josh Hawley,"3,312"
St. Francois,U.S. Senator,Republican,Fred Ryman,71
St. Francois,U.S. Senator,Republican,Christina Smith,406
St. Francois,U.S. Senator,Republican,Kristi Nichols,481
St. Francois,U.S. Senator,Republican,Bradley Krembs,63
St. Francois,U.S. Senator,Republican,Ken Patterson,222
St. Francois,U.S. Senator,Republican,Brian G. Hagg,67
St. Francois,U.S. Senator,Republican,Courtland Sykes,109
St. Francois,U.S. Senator,Republican,Peter Pfeifer,155
St. Francois,U.S. Senator,Democratic,Carla (Coffee) Wright,292
St. Francois,U.S. Senator,Democratic,Angelica Earl,113
St. Francois,U.S. Senator,Democratic,Leonard Joseph Steinman II,84
St. Francois,U.S. Senator,Democratic,John Hogan,218
St. Francois,U.S. Senator,Democratic,Travis Gonzalez,54
St. Francois,U.S. Senator,Democratic,David Faust,178
St. Francois,U.S. Senator,Democratic,Claire McCaskill,"3,738"
St. Francois,U.S. Senator,Libertarian,Japheth Campbell,30
St. Francois,U.S. Senator,Green,Jo Crain,8
St. Francois,U.S. Senator,Green,Jerome Bauer,10
St. Francois,State Auditor,Republican,Kevin M. Roach,"1,304"
St. Francois,State Auditor,Republican,David Wasinger,"1,272"
St. Francois,State Auditor,Republican,Paul Curtman,714
St. Francois,State Auditor,Republican,Saundra McDowell,"2,103"
St. Francois,State Auditor,Democratic,Nicole Galloway,"3,800"
St. Francois,State Auditor,Libertarian,Sean O'Toole,31
St. Francois,State Auditor,Green,Don Fitz,15
St. Francois,State Auditor,Constitution,Jacob Luetkemeyer,8
St. Francois,U.S. Representative - District 8,Republican,Jason Smith,"5,384"
St. Francois,U.S. Representative - District 8,Democratic,Kathy Ellis,"3,859"
St. Francois,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,31
St. Francois,State Representative - District 115,Republican,Elaine Freeman Gannon,758
St. Francois,State Representative - District 115,Republican,Marvin Fricke,277
St. Francois,State Representative - District 116,Republican,Dale L. Wright,"1,669"
St. Francois,State Representative - District 116,Democratic,Bill Kraemer,823
St. Francois,State Representative - District 117,Republican,Mike Henderson,"2,799"
St. Francois,State Representative - District 117,Democratic,Kayla Chick,"2,046"
St. Francois,Circuit Judge - Circuit 24 Division 1,Republican,Jerel Lee Poor II,"4,661"
St. Francois,Circuit Judge - Circuit 24 Division 1,Democratic,Sandy Martinez,"3,883"
St. Francois,Circuit Judge - Circuit 24 Division 2,Democratic,Wendy Wexler Horn,"3,908"
St. Louis,U.S. Senator,Republican,Tony Monetti,"7,242"
St. Louis,U.S. Senator,Republican,Austin Petersen,"5,476"
St. Louis,U.S. Senator,Republican,Josh Hawley,"44,622"
St. Louis,U.S. Senator,Republican,Fred Ryman,548
St. Louis,U.S. Senator,Republican,Christina Smith,"2,199"
St. Louis,U.S. Senator,Republican,Kristi Nichols,"2,591"
St. Louis,U.S. Senator,Republican,Bradley Krembs,269
St. Louis,U.S. Senator,Republican,Ken Patterson,991
St. Louis,U.S. Senator,Republican,Brian G. Hagg,369
St. Louis,U.S. Senator,Republican,Courtland Sykes,"1,365"
St. Louis,U.S. Senator,Republican,Peter Pfeifer,"1,390"
St. Louis,U.S. Senator,Democratic,Carla (Coffee) Wright,"13,661"
St. Louis,U.S. Senator,Democratic,Angelica Earl,"4,039"
St. Louis,U.S. Senator,Democratic,Leonard Joseph Steinman II,"2,251"
St. Louis,U.S. Senator,Democratic,John Hogan,"4,474"
St. Louis,U.S. Senator,Democratic,Travis Gonzalez,"2,249"
St. Louis,U.S. Senator,Democratic,David Faust,"5,315"
St. Louis,U.S. Senator,Democratic,Claire McCaskill,"152,149"
St. Louis,U.S. Senator,Libertarian,Japheth Campbell,"1,027"
St. Louis,U.S. Senator,Green,Jo Crain,154
St. Louis,U.S. Senator,Green,Jerome Bauer,146
St. Louis,State Auditor,Republican,Kevin M. Roach,"15,492"
St. Louis,State Auditor,Republican,David Wasinger,"24,428"
St. Louis,State Auditor,Republican,Paul Curtman,"8,367"
St. Louis,State Auditor,Republican,Saundra McDowell,"11,858"
St. Louis,State Auditor,Democratic,Nicole Galloway,"154,753"
St. Louis,State Auditor,Libertarian,Sean O'Toole,"1,092"
St. Louis,State Auditor,Green,Don Fitz,284
St. Louis,State Auditor,Constitution,Jacob Luetkemeyer,191
St. Louis,U.S. Representative - District 1,Republican,Camille Lombardi-Olive,"3,064"
St. Louis,U.S. Representative - District 1,Republican,Robert Vroman,"3,428"
St. Louis,U.S. Representative - District 1,Republican,Edward L Van Deventer Jr,"3,457"
St. Louis,U.S. Representative - District 1,Democratic,Cori Bush,"28,213"
St. Louis,U.S. Representative - District 1,Democratic,DeMarco K. Davidson,"2,759"
St. Louis,U.S. Representative - District 1,Democratic,Joshua Shipp,"2,964"
St. Louis,U.S. Representative - District 1,Democratic,Lacy Clay,"51,826"
St. Louis,U.S. Representative - District 1,Libertarian,Robb Cunningham,340
St. Louis,U.S. Representative - District 2,Republican,Ann Wagner,"51,271"
St. Louis,U.S. Representative - District 2,Republican,Noga Sachs,"5,225"
St. Louis,U.S. Representative - District 2,Democratic,Mark J. Osmack,"24,023"
St. Louis,U.S. Representative - District 2,Democratic,(William) Bill Haas,"16,736"
St. Louis,U.S. Representative - District 2,Democratic,Cort VanOstran,"38,775"
St. Louis,U.S. Representative - District 2,Democratic,John Messmer,"8,395"
St. Louis,U.S. Representative - District 2,Democratic,Robert W. Hazel,"3,400"
St. Louis,U.S. Representative - District 2,Libertarian,Larry A. Kirk,719
St. Louis,U.S. Representative - District 2,Green,David Justus Arnold,149
St. Louis,State Senator - District 4,Republican,Robert J. Crump,"1,590"
St. Louis,State Senator - District 4,Democratic,Karla May,"3,467"
St. Louis,State Senator - District 4,Democratic,Jacob W. Hummel,"3,542"
St. Louis,State Senator - District 14,Democratic,Sharon L. Pace,"11,753"
St. Louis,State Senator - District 14,Democratic,Brian Williams,"12,591"
St. Louis,State Senator - District 14,Democratic,Joe Adams,"6,973"
St. Louis,State Senator - District 24,Republican,Gregory B. Powers,"11,182"
St. Louis,State Senator - District 24,Democratic,Jill Schupp,"27,419"
St. Louis,State Senator - District 24,Libertarian,Jim Higgins,224
St. Louis,State Senator - District 26,Republican,Dave Schatz,"8,489"
St. Louis,State Senator - District 26,Democratic,John Kiehne,"7,544"
St. Louis,State Representative - District 66,Democratic,Khalil Abdul Mumin,"1,293"
St. Louis,State Representative - District 66,Democratic,"Tommie Pierson, Jr.","4,303"
St. Louis,State Representative - District 67,Republican,Patti Longworth,755
St. Louis,State Representative - District 67,Democratic,Alan K. Green,"9,199"
St. Louis,State Representative - District 68,Democratic,Jay Mosley,"6,605"
St. Louis,State Representative - District 69,Republican,Adam Jenning,"1,558"
St. Louis,State Representative - District 69,Democratic,Gretchen Bangert,"5,896"
St. Louis,State Representative - District 69,Libertarian,Eric S. Harris,44
St. Louis,State Representative - District 70,Republican,Mark Matthiesen,"1,927"
St. Louis,State Representative - District 70,Democratic,Donald L. Klein,553
St. Louis,State Representative - District 70,Democratic,Gregory A Upchurch,922
St. Louis,State Representative - District 70,Democratic,Paula Brown,"2,669"
St. Louis,State Representative - District 70,Green,Carol Hexem,12
St. Louis,State Representative - District 71,Democratic,LaDonna Appelbaum,"5,014"
St. Louis,State Representative - District 71,Democratic,Boris Abadzhyan,870
St. Louis,State Representative - District 71,Libertarian,LaDonna Higgins,41
St. Louis,State Representative - District 72,Republican,Bruce Buwalda,"1,807"
St. Louis,State Representative - District 72,Democratic,Doug Clemens,"2,135"
St. Louis,State Representative - District 72,Democratic,Sheryl Gladney,548
St. Louis,State Representative - District 72,Democratic,Dan Wibracht,"1,602"
St. Louis,State Representative - District 72,Democratic,Jeanine Molloff,298
St. Louis,State Representative - District 72,Democratic,Eileen Grant McGeoghegan,836
St. Louis,State Representative - District 73,Democratic,Lee Smith,"1,135"
St. Louis,State Representative - District 73,Democratic,Floyd Blackwell,"1,251"
St. Louis,State Representative - District 73,Democratic,Raychel Proudie,"3,128"
St. Louis,State Representative - District 74,Democratic,Cora Faith Walker,"5,325"
St. Louis,State Representative - District 75,Democratic,Teona McGhaw-Boure',"2,487"
St. Louis,State Representative - District 75,Democratic,Alan Gray,"4,667"
St. Louis,State Representative - District 83,Democratic,Gina Mitten,"5,285"
St. Louis,State Representative - District 83,Libertarian,Andrew Bolin,45
St. Louis,State Representative - District 85,Republican,Steven McKnight,678
St. Louis,State Representative - District 85,Democratic,"Kevin L. Windham, Jr.","3,070"
St. Louis,State Representative - District 85,Democratic,Errol S. Bush,"2,535"
St. Louis,State Representative - District 85,Democratic,Jacob Walters,423
St. Louis,State Representative - District 85,Democratic,Eric B. Reese,997
St. Louis,State Representative - District 86,Democratic,Farrakhan Shegog,"2,662"
St. Louis,State Representative - District 86,Democratic,Maria N. Chappelle-Nadal,"4,388"
St. Louis,State Representative - District 86,Democratic,Gloria (Glo) Nickerson,"1,060"
St. Louis,State Representative - District 86,Democratic,Bobby Shields,599
St. Louis,State Representative - District 87,Republican,Steven G. Bailey,"1,386"
St. Louis,State Representative - District 87,Democratic,Ian Mackey,"3,958"
St. Louis,State Representative - District 87,Democratic,Sam K. Gladney,"3,813"
St. Louis,State Representative - District 87,Green,Robert W. Warbin,11
St. Louis,State Representative - District 88,Republican,Karan Pujji,883
St. Louis,State Representative - District 88,Republican,Lloyd Nolan,"1,285"
St. Louis,State Representative - District 88,Democratic,Tracy McCreery,"6,474"
St. Louis,State Representative - District 88,Libertarian,Stephen Johnson,48
St. Louis,State Representative - District 89,Republican,Dean Plocher,"3,979"
St. Louis,State Representative - District 89,Democratic,Kevin FitzGerald,"5,222"
St. Louis,State Representative - District 90,Democratic,Deb Lavender,"8,189"
St. Louis,State Representative - District 91,Republican,Jennifer Bird,"2,350"
St. Louis,State Representative - District 91,Democratic,Sarah Unsicker,"8,279"
St. Louis,State Representative - District 91,Libertarian,James Scariot,57
St. Louis,State Representative - District 92,Republican,Bill Heisse,"2,413"
St. Louis,State Representative - District 92,Democratic,Doug Beck,"5,891"
St. Louis,State Representative - District 93,Democratic,Bob Burns,"3,350"
St. Louis,State Representative - District 94,Republican,Ron Rammaha,842
St. Louis,State Representative - District 94,Republican,Jim Murphy,"2,082"
St. Louis,State Representative - District 94,Democratic,Jean Pretto,"4,231"
St. Louis,State Representative - District 95,Republican,Joe Patterson,"1,947"
St. Louis,State Representative - District 95,Republican,Michael A. ODonnell,"2,030"
St. Louis,State Representative - District 95,Democratic,Mike Walter,"4,988"
St. Louis,State Representative - District 96,Republican,David J. Gregory,"4,380"
St. Louis,State Representative - District 96,Democratic,Erica Hoffman,"5,478"
St. Louis,State Representative - District 97,Republican,Mary Elizabeth Coleman,160
St. Louis,State Representative - District 97,Republican,Phil Amato,62
St. Louis,State Representative - District 97,Republican,David C. Linton,165
St. Louis,State Representative - District 97,Democratic,Mike Revis,437
St. Louis,State Representative - District 98,Republican,Shamed Dogan,"3,686"
St. Louis,State Representative - District 98,Democratic,Charles Triplett,"4,009"
St. Louis,State Representative - District 99,Republican,Jean Evans,"3,039"
St. Louis,State Representative - District 99,Democratic,Mike LaBozzetta,"4,394"
St. Louis,State Representative - District 100,Republican,Derek Grier,"4,087"
